charlton	79301
hedges	79281
estep	79146
mahan	79129
ashcraft	79126
cullen	79035
joiner	78940
barclay	78853
woodcock	78837
kauffman	78829
starnes	78800
meier	78775
christopher	78758
levy	78724
ashworth	78693
mccurdy	78595
staley	78560
barger	78523
chapin	78426
tillman	78417
joy	78381
lanier	78319
joseph	78313
stillwell	78279
grady	78226
pritchett	78207
sorensen	78133
beam	78132
arrington	78131
stoner	78096
mcgraw	78053
kyle	78019
redding	77934
baer	77930
pitt	77791
duckworth	77698
olmstead	77675
spalding	77650
hillman	77650
connolly	77636
yost	77612
burdett	77610
eubanks	77596
lawton	77584
perdue	77522
blalock	77511
blue	77494
bedford	77480
squire	77471
rucker	77436
oaks	77418
woody	77404
dowling	77373
brummett	77322
shook	77303
moreland	77210
addison	77197
ervin	77171
link	77143
blakely	77131
selby	77080
aaron	77018
clemons	76997
mckenna	76990
kerns	76965
moulton	76956
silver	76947
beckwith	76833
yancey	76770
whipple	76760
wing	76722
barney	76685
corey	76648
jolley	76638
radford	76587
mullens	76565
rivers	76455
mcqueen	76451
morin	76439
stephen	76435
huntley	76428
foust	76416
landis	76413
harlan	76402
lunsford	76383
waterman	76378
lilley	76361
handley	76269
earle	76232
christiansen	76230
blount	76169
muir	76119
slade	76118
jack	76089
payton	76039
baughman	76036
box	76030
spivey	76001
simmonds	75972
mcdougall	75918
angell	75903
myres	75832
noyes	75771
stapleton	75730
ellsworth	75723
covington	75693
morrell	75662
beeson	75643
child	75541
dodds	75524
calkins	75498
buckingham	75425
bear	75425
clary	75362
pickens	75311
hinds	75247
wolff	75231
ingersoll	75221
bauman	75192
parke	75156
holcombe	75138
searle	75134
speer	75118
ives	75104
healey	75062
whalen	75057
cornett	75017
dykes	75014
jefferson	74969
kenny	74952
costello	74886
doughty	74873
boothe	74813
meador	74758
rodriguez	74683
colby	74674
boles	74638
gonzales	74621
call	74591
millar	74574
lund	74567
lopez	74558
stowe	74517
burkhart	74452
diehl	74442
trout	74347
looney	74319
mather	74285
hutchings	74244
wren	74215
gillis	74212
farrow	74212
curtiss	74203
wadsworth	74197
bolin	74120
mcneal	74110
hamblin	73966
posey	73934
harlow	73929
abbe	73897
vickery	73861
marshal	73829
triplett	73801
vanhorn	73783
ragan	73778
parson	73763
ackley	73714
laurence	73701
swenson	73695
stroup	73680
hagen	73618
hiatt	73597
ring	73580
wylie	73551
robb	73470
brantley	73465
christy	73439
sams	73385
burger	73381
wiles	73353
pence	73342
clarkson	73329
dolan	73251
moffitt	73180
dobbins	73171
rea	73122
ridgeway	73103
conn	73063
clevenger	72910
geiger	72871
beale	72868
peek	72833
cloud	72833
faust	72764
dugan	72640
nickerson	72634
atherton	72542
schaeffer	72512
